# raceline for track_id=oschersleben (claude-docs/02-repo-layout.md)
# generated by tools/raceline (tool_version=0.1.0)
# vehicle_params: schema_version=0.2.0, sysid_session_id=none-preliminary
# generation_params: track_shape=external_centerline, source_centerline_csv=../config/tracks/oschersleben/source_centerline.csv, resample_ds_m=0.1, smooth_window=5, a_lat_max_mps2=9.51, a_max_mps2=9.51, v_max_mps=20.0
# columns: s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
36.690122,-34.330441,6.295458,2.178607,-0.169133,5.620128
36.790042,-34.386807,6.377962,2.157047,-0.262512,5.637119
36.889945,-34.440982,6.461901,2.128033,-0.318306,5.465982
36.989876,-34.492474,6.547543,2.103820,-0.166464,5.637165
37.089794,-34.542529,6.634019,2.087017,-0.169848,5.528915
37.189725,-34.591116,6.721344,2.061965,-0.331726,5.354270
37.289634,-34.636772,6.810211,2.033490,-0.238283,5.528876
37.389556,-34.680306,6.900151,2.013322,-0.165462,5.698157
37.489479,-34.722348,6.990799,1.992807,-0.245232,5.558465
37.589386,-34.762150,7.082436,1.964173,-0.327973,5.384821
37.689319,-34.798938,7.175351,1.939495,-0.166103,5.558508
37.789237,-34.834174,7.268850,1.922897,-0.166106,5.578764
