# raceline for track_id=gym_oval (claude-docs/02-repo-layout.md)
# generated by tools/raceline (tool_version=0.1.0)
# vehicle_params: schema_version=0.1.0, sysid_session_id=none-preliminary
# generation_params: track_shape=stadium, straight_length_m=8.0, turn_radius_m=3.0, points_per_meter=10.0, resample_ds_m=0.1, smooth_window=5, a_lat_max_mps2=9.51, a_max_mps2=9.51, v_max_mps=20.0
# columns: s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
2.904035,-1.095943,-3.000000,0.000000,0.000000,9.456962
3.004175,-0.995804,-3.000000,0.000000,0.000000,9.557133
3.104315,-0.895664,-3.000000,0.000000,0.000000,9.656265
3.204455,-0.795524,-3.000000,0.000000,0.000000,9.754389
3.304595,-0.695384,-3.000000,0.000000,0.000000,9.851537
3.404735,-0.595244,-3.000000,0.000000,0.000000,9.947735
3.504875,-0.495104,-3.000000,0.000000,0.000000,10.043012
3.605014,-0.394964,-3.000000,0.000000,0.000000,10.137394
3.705154,-0.294824,-3.000000,0.000000,0.000000,10.230905
3.805294,-0.194685,-3.000000,0.000000,0.000000,10.323569
3.905434,-0.094545,-3.000000,0.000000,0.000000,10.415409
4.005574,0.005595,-3.000000,0.000000,0.000000,10.506351
4.105714,0.105735,-3.000000,0.000000,0.000000,10.415314
4.205854,0.205875,-3.000000,0.000000,0.000000,10.323473
4.305994,0.306015,-3.000000,0.000000,0.000000,10.230808
4.406134,0.406155,-3.000000,0.000000,0.000000,10.137296
4.506273,0.506295,-3.000000,0.000000,0.000000,10.042914
4.606413,0.606435,-3.000000,0.000000,0.000000,9.947636
4.706553,0.706574,-3.000000,0.000000,0.000000,9.851436
4.806693,0.806714,-3.000000,0.000000,0.000000,9.754288
4.906833,0.906854,-3.000000,0.000000,0.000000,9.656163
5.006973,1.006994,-3.000000,0.000000,0.000000,9.557030
5.107113,1.107134,-3.000000,0.000000,0.000000,9.456857
5.207253,1.207274,-3.000000,0.000000,0.000000,9.355613
5.307392,1.307414,-3.000000,0.000000,0.000000,9.253261
5.407532,1.407554,-3.000000,0.000000,0.000000,9.149763
5.507672,1.507693,-3.000000,0.000000,0.000000,9.045082
5.607812,1.607833,-3.000000,0.000000,0.000000,8.939175
5.707952,1.707973,-3.000000,0.000000,0.000000,8.831998
5.808092,1.808113,-3.000000,0.000000,0.000000,8.723504
5.908232,1.908253,-3.000000,0.000000,0.000000,8.613644
6.008372,2.008393,-3.000000,0.000000,0.000000,8.502365
6.108512,2.108533,-3.000000,0.000000,0.000000,8.389610
6.208651,2.208673,-3.000000,0.000000,0.000000,8.275318
6.308791,2.308813,-3.000000,0.000000,0.000000,8.159426
6.408931,2.408952,-3.000000,0.000000,0.000000,8.041863
6.509071,2.509092,-3.000000,0.000000,0.000000,7.922557
6.609211,2.609232,-3.000000,0.000000,0.000000,7.801426
6.709351,2.709372,-3.000000,0.000000,0.000000,7.678384
6.809491,2.809512,-3.000000,0.000000,0.000000,7.553339
6.909631,2.909652,-3.000000,0.000000,0.000000,7.426188
7.009770,3.009792,-3.000000,0.000000,0.000000,7.296821
7.109910,3.109932,-3.000000,0.000000,0.000000,7.165120
7.210050,3.210071,-3.000000,0.000000,0.000000,7.030952
7.310190,3.310211,-3.000000,0.000000,0.000000,6.894173
7.410330,3.410351,-3.000000,0.000000,0.000000,6.754625
7.510470,3.510491,-3.000000,0.000000,0.000000,6.612133
7.610610,3.610631,-3.000000,0.000000,0.000000,6.466501
7.710750,3.710771,-3.000000,0.000187,0.003729,6.317514
7.810889,3.810910,-2.999963,0.002414,0.040752,6.164927
7.911024,3.911045,-2.999517,0.009831,0.107423,6.008473
8.011140,4.011149,-2.997994,0.023924,0.174156,5.847867
8.111221,4.111176,-2.994728,0.044695,0.240993,5.682783
8.211263,4.211057,-2.989053,0.071959,0.304117,5.512824
8.311285,4.310700,-2.980345,0.103859,0.333816,5.337489
8.411308,4.409997,-2.968317,0.137240,0.333815,5.337490
8.511332,4.508837,-2.952981,0.170622,0.333815,5.337492
8.611355,4.607111,-2.934355,0.204003,0.333815,5.337493
8.711378,4.704708,-2.912459,0.237385,0.333815,5.337494
8.811401,4.801520,-2.887318,0.270766,0.333815,5.337496
8.911424,4.897439,-2.858960,0.304148,0.333814,5.337497
